iter	Passed	Remaining
854	9157	1553
855	9166	1541
856	9175	1531
857	9185	1520
858	9193	1509
859	9202	1498
860	9212	1487
861	9221	1476
862	9230	1465
863	9240	1454
864	9248	1443
865	9258	1432
866	9266	1421
867	9274	1410
868	9283	1399
869	9293	1388
870	9301	1377
871	9311	1366
872	9321	1356
873	9329	1345
874	9338	1334
875	9347	1323
876	9357	1312
877	9367	1301
878	9378	1290
879	9388	1280
880	9396	1269
881	9405	1258
882	9413	1247
883	9423	1236
884	9430	1225
885	9440	1214
886	9449	1203
887	9459	1193
888	9469	1182
889	9477	1171
890	9487	1160
891	9496	1149
892	9506	1139
893	9515	1128
894	9524	1117
895	9535	1106
896	9549	1096
897	9569	1087
898	9580	1076
899	9601	1066
900	9621	1057
901	9638	1047
902	9651	1036
903	9663	1026
904	9674	1015
905	9686	1004
906	9698	994
907	9709	983
908	9720	973
909	9733	962
910	9742	951
911	9753	941
912	9761	930
913	9775	919
914	9787	909
915	9794	898
916	9803	887
917	9811	876
918	9821	865
919	9829	854
920	9837	843
921	9845	832
922	9854	822
923	9864	811
924	9872	800
925	9882	789
926	9890	778
927	9899	768
928	9907	757
929	9916	746
930	9924	735
931	9933	724
932	9941	713
933	9950	703
934	9958	692
935	9966	681
936	9974	670
937	9984	659
938	9996	649
939	10004	638
940	10013	627
941	10021	617
942	10029	606
943	10038	595
944	10047	584
945	10055	573
946	10063	563
947	10071	552
948	10082	541
949	10089	531
950	10100	520
951	10108	509
952	10117	498
953	10166	490
954	10177	479
955	10190	468
956	10200	458
957	10208	447
958	10217	436
959	10227	426
960	10235	415
961	10244	404
962	10252	393
963	10261	383
964	10269	372
965	10279	361
966	10287	351
967	10296	340
968	10304	329
969	10314	318
970	10322	308
971	10331	297
972	10339	286
973	10348	276
974	10358	265
975	10366	254
976	10376	244
977	10386	233
978	10396	223
979	10404	212
980	10413	201
981	10421	191
982	10430	180
983	10439	169
984	10447	159
985	10455	148
986	10463	137
987	10472	127
988	10480	116
989	10489	105
990	10497	95
991	10506	84
992	10515	74
993	10523	63
994	10532	52
995	10541	42
996	10549	31
997	10558	21
998	10565	10
999	10574	0
